method,train_time,predict_time,90IntCov,50IntCov,AvgCent50W,AvgCent90W,RMSE,MAPE,CRPS,AVGNLL
quantile_reg,0.28431008745,0.108428082,0.6976148767012532,0.44892871580649507,0.62226402759336,1.5174926563536604,2.110566037358565,2.6210659042190114,1.1312678678458594,2.8754803520023664
simple_nn_aleo,64.53464541288334,0.388364981,0.8187238916588061,0.5111507883034632,0.7484714629385564,1.8252701395777429,1.7977473919069844,2.3886334023450533,1.0134819507263848,2.8526224923704278
concrete,20.541054423683335,14.825924111,0.8135022234200242,0.47025333513003637,0.8248265490794192,2.0114745116063455,1.7549014707614978,2.3340181705313707,0.9675899942634746,2.1262539227947888
fnp,131.52329005533332,172.239564781,0.580009432691012,0.270819296590756,0.906933224919396,2.2117050762858725,3.261840095328696,4.088247719665511,1.809931409935318,3.6907780494701687
deep_ens,59.091393432433335,2.137477621,0.7488882899878723,0.42794097830481065,0.7690494621128583,1.8754529578747068,1.8671657140516191,2.479374829186924,1.0455070815496892,2.315131168124465
bnn,280.32974606475,12.539518002,0.5501280150923056,0.26266675650181914,1.4398268230052835,3.511253316027061,5.008184167826801,6.545766804263671,2.9908070011909818,4.428357442073194
dgp,173.72170111918334,0.394286272,0.8969141625117909,0.6165947985446705,0.9946453278665311,2.4256053922183147,2.565921719594678,3.0716306649745846,1.2540168070119222,2.351553777014184
