method,train_time,predict_time,90IntCov,50IntCov,AvgCent50W,AvgCent90W,RMSE,MAPE,CRPS,AVGNLL
quantile_reg,0.3664059758166667,0.082704223,0.9358577011184477,0.48187575798409915,0.2730907077240218,0.6659763783749357,0.4641366072070436,0.46230002496868905,0.19618023322989517,0.6769920111454621
simple_nn_aleo,213.89102531071666,0.377220704,0.9349144320172483,0.3669316803665274,0.3828362265658989,0.9336087844363399,0.505720937888325,0.5623376314965749,0.24506860030018598,0.7044120521017512
concrete,293.9053151018,14.550866047,0.9785069397655303,0.5122961864977765,0.3630185775485474,0.8852802044180881,0.42705955772367427,0.4442608974165254,0.2022543643874631,0.5561338469403807
fnp,130.10313557538333,168.765140463,0.9975407627004447,0.6576270044468401,0.6815665389124786,1.6621115342568844,1.117603519142028,0.8930475320339616,0.39419566315681515,1.2163583267351896
deep_ens,198.97802570066668,2.233846627,0.9889839644252796,0.48645735076135294,0.38543442813311574,0.9399449241184406,0.39770379564868225,0.4090622429075647,0.19526653361260762,0.5305188726455088
bnn,269.42148205815,12.968840266,0.991544266271392,0.6520684543862013,0.44434902604642196,1.0836178117048239,0.4899150100683911,0.5306062784608235,0.24183704481884263,0.7407665641404549
dgp,171.43654752633333,0.406426098,0.9717356151462068,0.7134483223285272,0.5190585278122887,1.2658091569574375,1.7024501647838184,1.3782743663890908,0.5320442085829746,1.2879973096980166
