method,train_time,predict_time,90IntCov,50IntCov,AvgCent50W,AvgCent90W,RMSE,MAPE,CRPS,AVGNLL
bnn,269.42148205815,9.819764535,0.9068184880743835,0.5303193639671203,0.230546177301552,0.5622245791044459,0.4708179021692409,0.49402831594079455,0.20585129930903842,0.6838548268576482
concrete,287.4590112892167,13.580207568,0.8630238512329874,0.46119121412208597,0.18793517661571507,0.4583106812197785,0.41298786657732156,0.4430415702590824,0.18292552271507181,0.5362541419138968
deep_ens,198.9780257006667,1.7479149,0.88269774962943,0.4943403853928042,0.17693311990738764,0.43148036559918207,0.3977584657069304,0.4089410942122505,0.16953428434180864,0.5146079180936542
dgp,171.4365475263333,0.880554601,0.9329942056326641,0.521796253874141,0.4250432308507761,1.0365374709887363,1.6542449015432823,1.275652390162153,0.4940758644357925,1.3253138600922585
fnp,130.10313557538333,161.448803637,0.8751515968198356,0.4487939630777523,0.2951238238231267,0.7197077374031791,1.0826252797143296,0.8391897528970835,0.33126525990363676,1.5056819427624817
quantile_reg,0.3664059758166667,0.06541947,0.8853591160220995,0.4833243498180838,0.20569712712312876,0.5016261040343707,0.4641013280640612,0.46224465174019863,0.19330577133898647,0.899712693199269
simple_nn_aleo,213.89102531071663,0.761803967,0.8072362215334861,0.41547635089610563,0.22184982080333404,0.5410170907427646,0.49552387997114267,0.5485107965318415,0.23188737169980156,0.839016544707872
