method,50IntCov,90IntCov,AVGNLL,AvgCent50W,AvgCent90W,CRPS,MAPE,RMSE,predict_time,train_time
quantile_reg,0.48187575798409915,0.9358577011184477,0.6769312728094861,0.2730915317312024,0.6659783878512833,0.19617978245758702,0.46229402769617245,0.46413615326411056,0.047011,0.3664059758166667
simple_nn_aleo,0.3668979921843417,0.9348807438350627,0.7044313867927677,0.38283996654902225,0.9336179049971836,0.24507713650471769,0.5623563775990208,0.5057354610744643,0.7071586,213.89102531071663
concrete,0.5122288101334052,0.9784732515833445,0.5562433938942075,0.36309508413183733,0.8854667782407052,0.2022861190473789,0.4442844378084846,0.4270757878766801,22.0721574,293.9053151018
fnp,0.6594798544670529,0.9979450208866729,1.2123847393991625,0.6813676102074596,1.6616264140577113,0.3932320273394632,0.8918981756314911,1.1072188114386816,158.3027166,130.10313557538333
deep_ens,0.4864910389435386,0.9889839644252796,0.5305256674490697,0.3854383663305721,0.9399545280573705,0.195267912356625,0.409059177387862,0.3977050126681389,2.0933896,198.9780257006667
bnn,0.6546961325966851,0.991544266271392,0.7405990129725071,0.4447460613589229,1.084586047283801,0.24151375086880314,0.5301539184105671,0.4891664909104116,17.3066372,269.42148205815
dgp,0.7139873332434982,0.9718366796927638,1.2880263774168572,0.5190594654782703,1.2658114436093697,0.5320533303937922,1.3782893637004996,1.7023699815824929,1.3563064,171.4365475263333
