method,train_time,predict_time,90IntCov,50IntCov,AvgCent50W,AvgCent90W,RMSE,MAPE,CRPS,AVGNLL
deep_ens,58.1713752758,1.900500194,0.7581525400889368,0.4257512464627409,0.7764550519839237,1.8935127005996273,1.8201339205627385,2.4218814749416833,1.0190642257063345,2.2637644846283873
bnn,265.84375953881664,10.969296799,0.843552081929659,0.5007074518258995,0.8664997724700149,2.113101486102033,1.7427769480469095,2.319311029922094,0.9569540374896625,2.036951383250177
dgp,181.75997050248333,0.409754784,0.8997439698153887,0.617740196738984,1.0159164250441586,2.477478443412475,2.9488870786972883,3.2974426641734453,1.3408701011042654,2.500476795531198
